
code,longitude,bathrooms,garage,price_by_sqm,condominio,rent,agent_number,area,agent,district,rooms,iptu,url,suites,latitude,price,title,condominium_fee,address,area_total
,-34.897569,,,,,,,150,,,,,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-150m2-venda-RS650000-id-85548106/,,-8.119749,650000,"Apartamento na Rua dos Navegantes, 74, Boa Viagem em Recife, por R$ 650.000 - VivaReal",R$ 900,"Rua dos Navegantes, 74 - Boa Viagem, Recife - PE",
,-34.896076,,,,,,,183,,,,R$ 4.100,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-183m2-venda-RS1000000-id-85513770/,,-8.122141,1000000,"Apartamento na Avenida Boa Viagem, Boa Viagem em Recife, por R$ 1.000.000 - VivaReal",R$ 2.300,"Avenida Boa Viagem - Boa Viagem, Recife - PE",
,-34.901634,,,,,,,126,,,,R$ 1.790,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-126m2-venda-RS550000-id-87027467/,,-8.121334,550000,"Apartamento na Rua Arnaud Holanda, 54, Boa Viagem em Recife, por R$ 550.000 - VivaReal",R$ 976,"Rua Arnaud Holanda, 54 - Boa Viagem, Recife - PE",
,-34.901664,,,,,,,37,,,,,https://www.vivareal.com.br/imovel/sala-comercial-boa-viagem-bairros-recife-com-garagem-37m2-venda-RS250000-id-87059911/,,-8.119762,250000,"Sala Comercial na Avenida Fernando Simões Barbosa, 266, Boa Viagem em Recife, por R$ 250.000 - VivaReal",,"Avenida Fernando Simões Barbosa, 266 - Boa Viagem, Recife - PE",
,-34.899199,,,,,,,,,,,,https://www.vivareal.com.br/imoveis-lancamento/jardim-das-orquideas-6570/,,-8.11616,,"Lançamento Moura Dubeux Jardim das Orquídeas - Apartamento - Boa Viagem, Recife - VivaReal",,,
,-34.899082,,,,,,,,,,,,https://www.vivareal.com.br/imoveis-lancamento/jardim-das-acacias-6672/,,-8.116232,,"Lançamento Moura Dubeux Jardim das Acácias - Apartamento - Boa Viagem, Recife - VivaReal",,,
,-34.90724,,,,,,,87,,,,R$ 513,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-87m2-venda-RS250000-id-85522063/,,-8.122612,250000,"Apartamento na Rua Coronel Anizío Rodrigues Coelho, 168, Boa Viagem em Recife, por R$ 250.000 - VivaReal",R$ 840,"Rua Coronel Anizío Rodrigues Coelho, 168 - Boa Viagem, Recife - PE",
,-34.908033,,,,,,,61,,,,,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-61m2-venda-RS295000-id-83958612/,,-8.127003,295000,"Apartamento na Rua Amália Bernardino de Souza, 532, Boa Viagem em Recife, por R$ 295.000 - VivaReal",R$ 380,"Rua Amália Bernardino de Souza, 532 - Boa Viagem, Recife - PE",
,-34.896076,,,,,,,100,,,,,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-100m2-venda-RS670000-id-85403951/,,-8.122141,670000,"Apartamento na Avenida Boa Viagem, Boa Viagem em Recife, por R$ 670.000 - VivaReal",R$ 500,"Avenida Boa Viagem - Boa Viagem, Recife - PE",
,-34.902409,,,,,,,90,,,,,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-90m2-venda-RS230000-id-81410423/,,-8.13173,230000,"Apartamento na Avenida Boa Viagem, Boa Viagem em Recife, por R$ 230.000 - VivaReal",R$ 150,"Avenida Boa Viagem - Boa Viagem, Recife - PE",
